bResult,rResult,,gamelength,bBarons,rBarons
1,0,,40,[],[29.954]
0,1,,38,[29.255],[]
1,0,,40,[35.144],[]
0,1,,41,[37.513],[]
1,0,,35,[32.556],[]
0,1,,24,[],[]
1,0,,39,[28.745],[]
1,0,,43,"[31.577, 39.029]",[]
0,1,,41,[21.657],[32.145]
1,0,,32,[27.532],[]
1,0,,52,[48.915],[]
1,0,,46,[28.332],[39.788]
1,0,,38,"[28.563, 35.751]",[]
0,1,,31,[],[27.243]
1,0,,33,[25.352],[]
1,0,,38,[],[]
0,1,,40,[],"[36.139, 26.788]"
1,0,,39,[31.889],[]
1,0,,40,[],[31.408]
0,1,,39,[],[36.047]
0,1,,49,[],"[45.521, 37.223]"
1,0,,35,[31.612],[]
0,1,,36,[],"[24.043, 31.495]"
1,0,,43,"[29.926, 37.181]",[]
0,1,,32,[],"[29.689, 22.163]"
1,0,,31,[26.532],[]
1,0,,36,[26.52],[]
0,1,,41,[],"[32.215, 24.5]"
1,0,,31,[27.499],[]
1,0,,30,[26.055],[]
0,1,,45,[],[35.832]
1,0,,42,[],[]
0,1,,27,[],[22.956]
0,1,,35,[],"[24.052, 31.425]"
0,1,,43,[],"[32.863, 40.826, 24.831]"
1,0,,37,[29.702],[]
1,0,,40,[37.994],[29.412]
0,1,,46,"[40.923, 31.233]",[]
1,0,,48,"[45.918, 35.801]",[]
1,0,,39,[33.116],[]
0,1,,40,[29.396],[]
0,1,,49,[],[43.817]
1,0,,37,[30.068],[]
0,1,,35,[],[28.958]
1,0,,24,[21.158],[]
1,0,,44,"[35.503, 43.437]",[]
1,0,,54,"[45.396, 37.797]",[]
0,1,,47,[],"[30.634, 40.129]"
0,1,,33,[],[28.14]
1,0,,30,[],[]
0,1,,34,[],[26.981]
1,0,,49,[26.407],"[39.802, 47.364]"
1,0,,29,[24.569],[]
1,0,,33,"[21.924, 30.098]",[]
1,0,,29,[22.53],[]
1,0,,33,"[23.357, 30.746]",[]
1,0,,30,[24.095],[]
1,0,,42,[],[]
0,1,,55,[43.097],"[50.741, 33.806]"
1,0,,38,[33.029],[]
1,0,,51,[49.975],[39.921]
0,1,,36,[],[29.908]
0,1,,46,"[37.584, 44.787]",[]
1,0,,40,[37.447],[29.447]
0,1,,46,[43.059],[34.978]
1,0,,46,[41.06],[]
1,0,,37,[32.79],[]
0,1,,29,[],[22.501]
1,0,,45,[37.782],[]
1,0,,31,[26.684],[]
0,1,,31,[],[29.697]
0,1,,33,[],"[21.144, 29.348]"
0,1,,37,[],"[21.002, 31.718]"
1,0,,38,[34.815],[23.968]
0,1,,45,[],"[43.765, 34.296]"
0,1,,40,[],"[36.53, 29.223]"
1,0,,42,"[30.934, 39.187]",[]
1,0,,47,[35.96],[27.127]
1,0,,42,"[36.908, 23.883]",[]
0,1,,37,[],"[20.527, 28.279]"
0,1,,45,[],[27.946]
0,1,,34,[],[]
1,0,,36,[33.452],[]
0,1,,36,[],"[33.376, 24.784]"
0,1,,42,[],"[38.903, 31.606]"
1,0,,35,[27.564],[]
1,0,,40,[32.514],[24.514]
